demand,time
4966.82,2025-07-22 15:00:00
5049.33,2025-07-22 15:15:00
5046.64,2025-07-22 15:30:00
5214.49,2025-07-22 15:45:00
5287.02,2025-07-22 16:00:00
5214.4,2025-07-22 16:15:00
5340.35,2025-07-22 16:30:00
5380.0,2025-07-22 16:45:00
5475.43,2025-07-22 17:00:00
5810.51,2025-07-22 17:15:00
5895.08,2025-07-22 17:30:00
6117.01,2025-07-22 17:45:00
6424.06,2025-07-22 18:00:00
6745.97,2025-07-22 18:15:00
7079.97,2025-07-22 18:30:00
7500.48,2025-07-22 18:45:00
7795.23,2025-07-22 19:00:00
8040.88,2025-07-22 19:15:00
8378.72,2025-07-22 19:30:00
8726.88,2025-07-22 19:45:00
9063.98,2025-07-22 20:00:00
9462.25,2025-07-22 20:15:00
9881.21,2025-07-22 20:30:00
10204.4,2025-07-22 20:45:00
10508.24,2025-07-22 21:00:00
10772.15,2025-07-22 21:15:00
10897.18,2025-07-22 21:30:00
10977.07,2025-07-22 21:45:00
11023.4,2025-07-22 22:00:00
11083.27,2025-07-22 22:15:00
11088.01,2025-07-22 22:30:00
11031.01,2025-07-22 22:45:00
10924.55,2025-07-22 23:00:00
10856.14,2025-07-22 23:15:00
10700.11,2025-07-22 23:30:00
10558.24,2025-07-22 23:45:00
10487.87,2025-07-23 00:00:00
10552.76,2025-07-23 00:15:00
10752.4,2025-07-23 00:30:00
10783.96,2025-07-23 00:45:00
10702.12,2025-07-23 01:00:00
10600.12,2025-07-23 01:15:00
10524.25,2025-07-23 01:30:00
10468.62,2025-07-23 01:45:00
10443.83,2025-07-23 02:00:00
10422.99,2025-07-23 02:15:00
10391.73,2025-07-23 02:30:00
10409.07,2025-07-23 02:45:00
10393.12,2025-07-23 03:00:00
10372.43,2025-07-23 03:15:00
10377.54,2025-07-23 03:30:00
10384.44,2025-07-23 03:45:00
10391.99,2025-07-23 04:00:00
10402.95,2025-07-23 04:15:00
10398.09,2025-07-23 04:30:00
10387.91,2025-07-23 04:45:00
10375.13,2025-07-23 05:00:00
10403.75,2025-07-23 05:15:00
10469.91,2025-07-23 05:30:00
10512.49,2025-07-23 05:45:00
10525.2,2025-07-23 06:00:00
10556.99,2025-07-23 06:15:00
10590.12,2025-07-23 06:30:00
10533.9,2025-07-23 06:45:00
10534.73,2025-07-23 07:00:00
10581.36,2025-07-23 07:15:00
10645.36,2025-07-23 07:30:00
10665.51,2025-07-23 07:45:00
10569.66,2025-07-23 08:00:00
10399.87,2025-07-23 08:15:00
10223.81,2025-07-23 08:30:00
10119.21,2025-07-23 08:45:00
9997.51,2025-07-23 09:00:00
9839.03,2025-07-23 09:15:00
9594.98,2025-07-23 09:30:00
9337.07,2025-07-23 09:45:00
9063.16,2025-07-23 10:00:00
8974.27,2025-07-23 10:15:00
8806.47,2025-07-23 10:30:00
8603.93,2025-07-23 10:45:00
8445.63,2025-07-23 11:00:00
8195.39,2025-07-23 11:15:00
7836.67,2025-07-23 11:30:00
7571.78,2025-07-23 11:45:00
7266.61,2025-07-23 12:00:00
6922.43,2025-07-23 12:15:00
6530.2,2025-07-23 12:30:00
6254.34,2025-07-23 12:45:00
6081.3,2025-07-23 13:00:00
5833.25,2025-07-23 13:15:00
5637.43,2025-07-23 13:30:00
5544.9,2025-07-23 13:45:00
5382.47,2025-07-23 14:00:00
5260.74,2025-07-23 14:15:00
5229.12,2025-07-23 14:30:00
5158.24,2025-07-23 14:45:00
5191.59,2025-07-23 15:00:00
5319.24,2025-07-23 15:15:00
5480.59,2025-07-23 15:30:00
5723.6,2025-07-23 15:45:00
5997.84,2025-07-23 16:00:00
6101.79,2025-07-23 16:15:00
6211.52,2025-07-23 16:30:00
6340.73,2025-07-23 16:45:00
6629.5,2025-07-23 17:00:00
6989.09,2025-07-23 17:15:00
7397.07,2025-07-23 17:30:00
7822.36,2025-07-23 17:45:00
8138.94,2025-07-23 18:00:00
8501.85,2025-07-23 18:15:00
8742.92,2025-07-23 18:30:00
9114.54,2025-07-23 18:45:00
9366.07,2025-07-23 19:00:00
9513.99,2025-07-23 19:15:00
9814.25,2025-07-23 19:30:00
10137.45,2025-07-23 19:45:00
10396.41,2025-07-23 20:00:00
10595.88,2025-07-23 20:15:00
10965.31,2025-07-23 20:30:00
11151.46,2025-07-23 20:45:00
11029.68,2025-07-23 21:00:00
10859.6,2025-07-23 21:15:00
10968.38,2025-07-23 21:30:00
11144.73,2025-07-23 21:45:00
11239.95,2025-07-23 22:00:00
11472.85,2025-07-23 22:15:00
11727.44,2025-07-23 22:30:00
11716.86,2025-07-23 22:45:00
11669.68,2025-07-23 23:00:00
11733.1,2025-07-23 23:15:00
11757.63,2025-07-23 23:30:00
11733.23,2025-07-23 23:45:00
11711.82,2025-07-24 00:00:00
11758.67,2025-07-24 00:15:00
11798.94,2025-07-24 00:30:00
11741.15,2025-07-24 00:45:00
11641.3,2025-07-24 01:00:00
11530.81,2025-07-24 01:15:00
11410.49,2025-07-24 01:30:00
11341.02,2025-07-24 01:45:00
11293.98,2025-07-24 02:00:00
11199.73,2025-07-24 02:15:00
11087.61,2025-07-24 02:30:00
11040.56,2025-07-24 02:45:00
10970.48,2025-07-24 03:00:00
10933.41,2025-07-24 03:15:00
10936.76,2025-07-24 03:30:00
10933.14,2025-07-24 03:45:00
10981.97,2025-07-24 04:00:00
11070.44,2025-07-24 04:15:00
11111.09,2025-07-24 04:30:00
11035.05,2025-07-24 04:45:00
10945.08,2025-07-24 05:00:00
10907.06,2025-07-24 05:15:00
10930.68,2025-07-24 05:30:00
10918.18,2025-07-24 05:45:00
10844.94,2025-07-24 06:00:00
10798.0,2025-07-24 06:15:00
10725.4,2025-07-24 06:30:00
10615.71,2025-07-24 06:45:00
10618.15,2025-07-24 07:00:00
10597.96,2025-07-24 07:15:00
10524.88,2025-07-24 07:30:00
10411.83,2025-07-24 07:45:00
10225.69,2025-07-24 08:00:00
9960.84,2025-07-24 08:15:00
9643.55,2025-07-24 08:30:00
9438.98,2025-07-24 08:45:00
9250.88,2025-07-24 09:00:00
9001.64,2025-07-24 09:15:00
8739.13,2025-07-24 09:30:00
8494.87,2025-07-24 09:45:00
8122.23,2025-07-24 10:00:00
7821.15,2025-07-24 10:15:00
7588.64,2025-07-24 10:30:00
7414.38,2025-07-24 10:45:00
7236.73,2025-07-24 11:00:00
6992.81,2025-07-24 11:15:00
6722.22,2025-07-24 11:30:00
6417.87,2025-07-24 11:45:00
6063.03,2025-07-24 12:00:00
5774.7,2025-07-24 12:15:00
5391.97,2025-07-24 12:30:00
5088.83,2025-07-24 12:45:00
4734.48,2025-07-24 13:00:00
4555.87,2025-07-24 13:15:00
4458.02,2025-07-24 13:30:00
4424.28,2025-07-24 13:45:00
4375.44,2025-07-24 14:00:00
4347.18,2025-07-24 14:15:00
4113.39,2025-07-24 14:30:00
4015.97,2025-07-24 14:45:00
4072.13,2025-07-24 15:00:00
4198.18,2025-07-24 15:15:00
4373.13,2025-07-24 15:30:00
4540.7,2025-07-24 15:45:00
4782.05,2025-07-24 16:00:00
5143.3,2025-07-24 16:15:00
5215.32,2025-07-24 16:30:00
5497.94,2025-07-24 16:45:00
5634.88,2025-07-24 17:00:00
5930.1,2025-07-24 17:15:00
6176.17,2025-07-24 17:30:00
6597.02,2025-07-24 17:45:00
7054.28,2025-07-24 18:00:00
7463.61,2025-07-24 18:15:00
7936.43,2025-07-24 18:30:00
8370.93,2025-07-24 18:45:00
8747.04,2025-07-24 19:00:00
9056.24,2025-07-24 19:15:00
9418.76,2025-07-24 19:30:00
9928.72,2025-07-24 19:45:00
10450.03,2025-07-24 20:00:00
10813.17,2025-07-24 20:15:00
10997.83,2025-07-24 20:30:00
11122.89,2025-07-24 20:45:00
11160.66,2025-07-24 21:00:00
11321.27,2025-07-24 21:15:00
11503.48,2025-07-24 21:30:00
11535.09,2025-07-24 21:45:00
11561.96,2025-07-24 22:00:00
11672.87,2025-07-24 22:15:00
11794.56,2025-07-24 22:30:00
11839.3,2025-07-24 22:45:00
11816.0,2025-07-24 23:00:00
11676.0,2025-07-24 23:15:00
11458.6,2025-07-24 23:30:00
11405.27,2025-07-24 23:45:00
11365.13,2025-07-25 00:00:00
11316.94,2025-07-25 00:15:00
11252.15,2025-07-25 00:30:00
11128.0,2025-07-25 00:45:00
11131.76,2025-07-25 01:00:00
11119.36,2025-07-25 01:15:00
11099.84,2025-07-25 01:30:00
11101.03,2025-07-25 01:45:00
11084.28,2025-07-25 02:00:00
11106.98,2025-07-25 02:15:00
11149.68,2025-07-25 02:30:00
11132.46,2025-07-25 02:45:00
11112.74,2025-07-25 03:00:00
11143.34,2025-07-25 03:15:00
11235.0,2025-07-25 03:30:00
11213.58,2025-07-25 03:45:00
11132.56,2025-07-25 04:00:00
11113.23,2025-07-25 04:15:00
11128.49,2025-07-25 04:30:00
11133.81,2025-07-25 04:45:00
11074.14,2025-07-25 05:00:00
11015.88,2025-07-25 05:15:00
11016.34,2025-07-25 05:30:00
11024.89,2025-07-25 05:45:00
10886.05,2025-07-25 06:00:00
10744.55,2025-07-25 06:15:00
10700.55,2025-07-25 06:30:00
10676.17,2025-07-25 06:45:00
10705.52,2025-07-25 07:00:00
10698.68,2025-07-25 07:15:00
10730.23,2025-07-25 07:30:00
10765.43,2025-07-25 07:45:00
10857.04,2025-07-25 08:00:00
10936.97,2025-07-25 08:15:00
10967.18,2025-07-25 08:30:00
10956.48,2025-07-25 08:45:00
